,t1,t2,ciudad
287,-14.445849,-19.21015,Saladillo
288,36.55331,18.404362,Saldán
289,-5.7614274,-19.206871,Salsacate
290,25.959812,5.632315,Salsipuedes
291,19.777185,-5.7805243,Salta
292,17.728619,23.403303,San Alberto
293,-14.964386,0.803933,San Andrés de Giles
294,-8.518445,19.897238,San Antonio de Areco
295,27.860754,6.2734637,San Antonio de Arredondo
296,-15.643201,-1.0287335,San Bernardo
297,-1.9113929,-17.709248,San Carlos
298,-13.407648,-25.584358,San Carlos de Bariloche
299,-46.477974,-8.344158,San Clemente
300,-10.210885,20.815006,San Clemente del Tuyú
301,-40.885044,-6.8074527,San Cristobal
302,11.9723835,-21.029406,San Esteban
303,16.93154,33.86016,San Fernando
304,10.628389,-6.2012906,San Francisco
305,-5.4461794,9.305099,San Francisco del Monte
306,27.40825,28.419487,San Gerónimo
307,9.815572,10.5058975,San Ignacio
308,17.993706,32.61287,San Isidro
309,-39.318306,4.912565,San Javier
310,7.954183,-27.155334,San José
311,-26.60586,-0.39267197,San Juan
312,16.193422,-23.262823,San Lorenzo
313,-9.540363,1.1792598,San Luis
314,-34.796894,13.787959,San Marcos Sierras
315,-8.581187,-3.3249488,San Martín
316,6.4125466,25.602573,San Martín de los Andes
317,22.960775,-16.685978,San Miguel
318,26.575605,-11.499961,San Miguel de Tucumán
319,-19.52408,1.0195776,San Miguel del Monte
320,-42.635338,-13.63854,San Nicolás
321,-10.329355,14.11768,San Nicolás de los Arroyos
322,-4.9979587,-25.483883,San Pablo
323,-18.127813,21.975557,San Pedro
324,5.9796677,-2.145941,San Rafael
325,2.9884727,-9.5211,San Roque
326,-9.267236,5.4125614,San Salvador de Jujuy
327,-44.359882,-5.699699,San Telmo
328,27.125156,-12.210772,San Vicente
329,-0.720152,-29.390638,Santa Clara del Mar
330,-33.327343,-19.63106,Santa Fe
331,30.758606,4.5005827,Santa María
332,31.239902,12.331232,Santa María de Punilla
333,-15.209645,10.901116,Santa Rosa
334,21.119658,14.25828,Santa Rosa de Calamuchita
335,-15.824509,-20.160492,Santa Teresita
336,25.189116,-22.965532,Santo Tomé
337,32.889782,8.635947,Sarmiento
338,27.031332,15.008051,Segunda Usina
339,22.393154,-26.862713,Soldini
340,-29.810036,-13.65968,Tafí Viejo
341,6.9516582,2.5871317,Tala Huasi
342,-6.228005,-0.005607197,Talaini
343,-29.217657,-18.420324,Tandil
344,27.474096,2.334576,Tanti
345,17.076637,31.272154,Tigre
346,10.916154,-15.750685,Toledo
347,-16.077429,-11.217277,Tornquist
348,-28.810036,3.307304,Tres Arroyos
349,-4.375371,37.195957,Tres de Febrero
350,-44.2161,-11.984799,Tribunales
351,7.1541743,-15.594175,Ugarteche
352,35.861694,8.705849,Unquillo
353,-15.286347,-6.070878,Urquiza
354,1.0893129,33.59534,Uruguay
355,6.110404,-15.420872,Ushuaia
356,-3.5180027,12.048766,Uspallata
357,18.08828,-2.759953,Valeria del Mar
358,24.859892,-4.853085,Valle Hermoso
359,-19.681967,6.636578,Velez Sarsfield
360,-17.43429,4.67874,Versalles
361,18.771427,32.587666,Vicente López
362,-18.575754,-19.118382,Victoria
363,37.750072,16.867334,Villa Allende
364,-1.2863395,8.672432,Villa Amancay
365,39.437363,20.63268,Villa Carlos Paz
366,2.2767408,20.375013,Villa Carmela
367,-29.76235,13.242583,Villa Ciudad Parque Los Reartes
368,13.980263,18.86082,Villa Ciudad de América
369,11.540657,-27.276108,Villa Constitución
370,-28.031816,8.513108,Villa Crespo
371,23.802095,20.529818,Villa Cura Brochero
372,-17.720688,2.8172195,Villa Devoto
373,35.59094,-6.650685,Villa General Belgrano
374,-26.778545,6.560104,Villa General Mitre
375,27.30327,-3.0173366,Villa Gesell
376,29.805199,7.7794333,Villa Giardino
377,16.211771,-16.895096,Villa Gobernador Gálvez
378,25.668184,7.4783163,Villa Icho Cruz
379,13.721481,21.345518,Villa La Angostura
380,-4.952189,-6.947732,Villa La Bolsa
381,16.683054,-2.2328198,Villa Los Aromos
382,-38.40468,3.7563472,Villa Lugano
383,-21.047085,3.7854452,Villa Luro
384,6.1164403,12.174728,Villa Mercedes
385,13.847553,16.623798,Villa Merlo
